epoch,accuracy,loss,val_accuracy,val_loss
0,0.53875732421875,1.3027660846710205,0.9507995247840881,0.15424193441867828
1,0.8697323799133301,0.39461201429367065,0.9753997325897217,0.0821680799126625
2,0.9157182574272156,0.2508978545665741,0.9784747958183289,0.06932013481855392
3,0.9395570755004883,0.19512055814266205,0.984009861946106,0.045806318521499634
4,0.9518609642982483,0.14782540500164032,0.9852398633956909,0.044011540710926056
5,0.9526299834251404,0.13844308257102966,0.9876998662948608,0.03972397372126579
6,0.9630882740020752,0.11863742023706436,0.9913899302482605,0.03493036329746246
7,0.9643186926841736,0.10963265597820282,0.9870848655700684,0.0379597432911396
8,0.9546293616294861,0.1379687786102295,0.9895448684692383,0.04251238331198692
9,0.965856671333313,0.10943187773227692,0.9932349324226379,0.02665238454937935
10,0.9717010259628296,0.0874340832233429,0.9889298677444458,0.03307382017374039
11,0.9713934063911438,0.08236929029226303,0.9926199316978455,0.02792022004723549
12,0.9760074019432068,0.07563865929841995,0.9926199316978455,0.024763552471995354
13,0.9740080237388611,0.07749494165182114,0.9926199316978455,0.029602890834212303
14,0.9789295792579651,0.06624186038970947,0.990774929523468,0.037262629717588425
