,0,1,2,3,4,5,6,7,8,9
0,1467,0,0,0,0,0,4,0,0,0
1,0,1694,0,0,0,0,0,5,3,0
2,0,2,1534,0,0,0,0,1,0,0
3,0,0,0,1551,0,1,0,0,1,1
4,0,0,0,0,1449,0,2,1,0,5
5,0,0,0,3,0,1347,4,0,2,0
6,0,0,0,0,1,2,1501,0,1,0
7,0,1,1,0,1,0,0,1535,0,0
8,0,0,0,1,0,4,2,0,1433,2
9,0,0,0,0,1,2,0,2,2,1431
