epoch,accuracy,loss,val_accuracy,val_loss
0,0.8104599714279175,0.5889630317687988,0.9549333453178406,0.15026012063026428
1,0.9353653788566589,0.20542222261428833,0.9679333567619324,0.10107271373271942
2,0.9540900588035583,0.15052151679992676,0.9753999710083008,0.07659351080656052
3,0.9623057246208191,0.1202605590224266,0.9779333472251892,0.07115811109542847
4,0.9680277705192566,0.10334024578332901,0.980733335018158,0.059614893049001694
5,0.9715456366539001,0.09154458343982697,0.9831333160400391,0.05546994134783745
6,0.9734381437301636,0.08337102830410004,0.9818666577339172,0.06017878279089928
7,0.9754864573478699,0.07651938498020172,0.9845333099365234,0.04629722982645035
8,0.9765551686286926,0.07386813312768936,0.9847999811172485,0.04866402596235275
9,0.9790265560150146,0.06972753256559372,0.9865999817848206,0.04207586497068405
10,0.9804069995880127,0.06468190997838974,0.9864000082015991,0.04212750121951103
11,0.980696439743042,0.06327082961797714,0.9875333309173584,0.040709108114242554
12,0.9819210171699524,0.05778969079256058,0.9872666597366333,0.04298251122236252
13,0.9823217988014221,0.057132408022880554,0.9876000285148621,0.037482477724552155
14,0.9829249978065491,0.05381464585661888,0.9879999756813049,0.038501083850860596
15,0.9837467074394226,0.053612250834703445,0.9886000156402588,0.03748594596982002
16,0.9847263693809509,0.05374154448509216,0.9889333248138428,0.03470132499933243
17,0.984971284866333,0.05077214539051056,0.9860666394233704,0.04389538615942001
18,0.9852162003517151,0.05013757571578026,0.9906666874885559,0.02953229658305645
19,0.9848599433898926,0.04716644063591957,0.9911333322525024,0.031533002853393555
20,0.9858618974685669,0.04612168297171593,0.9898666739463806,0.03169625997543335
21,0.9853052496910095,0.04536880552768707,0.9910666942596436,0.029835209250450134
22,0.9884445667266846,0.03800516203045845,0.991266667842865,0.029895277693867683
23,0.9891347885131836,0.03454022482037544,0.9923333525657654,0.024816345423460007
24,0.9896246194839478,0.035414136946201324,0.9922666549682617,0.02517618052661419
25,0.9886894822120667,0.03591242432594299,0.9914666414260864,0.03101540356874466
26,0.9896023273468018,0.03368308022618294,0.9897333383560181,0.03568926826119423
27,0.9908491969108582,0.03029060550034046,0.9918000102043152,0.02681518718600273
28,0.991005003452301,0.02925347536802292,0.9922666549682617,0.026480097323656082
29,0.991472601890564,0.02834669128060341,0.9931333065032959,0.02278384566307068
